time="2022-12-06T23:48:46+08:00" level=info msg="Mixed(http+socks) proxy listening at: [::]:7890"
time="2022-12-06T23:48:46+08:00" level=info msg="RESTful API listening at: 127.0.0.1:57806"
time="2022-12-06T23:48:47+08:00" level=info msg="Start initial compatible provider ⭐️ Auto"
time="2022-12-06T23:48:47+08:00" level=info msg="Start initial compatible provider 🍃 Proxies"
time="2022-12-06T23:48:47+08:00" level=info msg="Start initial compatible provider ☁️ Others"
time="2022-12-06T23:48:47+08:00" level=info msg="Start initial compatible provider 🍂 Domestic"
time="2022-12-06T23:48:47+08:00" level=error msg="Start DNS server error: listen udp 0.0.0.0:5353: bind: address already in use"
time="2022-12-06T23:49:34+08:00" level=info msg="[TCP] 127.0.0.1:57934 --> api.bilibili.com:443 match DomainKeyword(bilibili) using 🍂 Domestic[DIRECT]"
time="2022-12-06T23:49:37+08:00" level=info msg="[TCP] 127.0.0.1:57939 --> p212-caldav.icloud.com.cn:443 using GLOBAL"
time="2022-12-06T23:49:38+08:00" level=info msg="[TCP] 127.0.0.1:57944 --> api.vc.bilibili.com:443 using GLOBAL"
time="2022-12-06T23:49:41+08:00" level=info msg="[TCP] 127.0.0.1:57946 --> release-75570.gzc.vod.tencent-cloud.com:443 using GLOBAL"
time="2022-12-06T23:49:44+08:00" level=info msg="[TCP] 127.0.0.1:57948 --> www.google.com:443 using GLOBAL"
time="2022-12-06T23:49:44+08:00" level=info msg="[TCP] 127.0.0.1:57950 --> www.google.com:443 using GLOBAL"
time="2022-12-06T23:49:44+08:00" level=info msg="[TCP] 127.0.0.1:57952 --> www.google.com:443 using GLOBAL"
time="2022-12-06T23:49:44+08:00" level=info msg="[TCP] 127.0.0.1:57954 --> www.google.com:443 using GLOBAL"
time="2022-12-06T23:49:45+08:00" level=info msg="[TCP] 127.0.0.1:57956 --> youtube.com:443 using GLOBAL"
time="2022-12-06T23:49:47+08:00" level=info msg="[TCP] 127.0.0.1:57959 --> www.youtube.com:443 using GLOBAL"
time="2022-12-06T23:49:48+08:00" level=info msg="[TCP] 127.0.0.1:57961 --> i.ytimg.com:443 using GLOBAL"
time="2022-12-06T23:49:48+08:00" level=info msg="[TCP] 127.0.0.1:57965 --> fonts.googleapis.com:443 using GLOBAL"
